240.625000  3.271277 0.944766  2.069628 0.198403  0.000000 0.000000  4.985715 0.467059 2.351781 0.220314
245.237500  0.000000 0.455744  0.000000 0.232844  0.000000 0.000000  0.000000 0.548136 0.000000 0.258559
249.850000  0.000000 0.060295  0.000000 0.001009  0.000000 0.000000  0.000000 0.002374 0.000000 0.001120
254.462500  3.271277 0.919993  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
259.075000  6.542553 1.025721  0.000000 0.000000  0.000000 0.006278  0.000000 0.000000 0.000000 0.002140
263.687500  6.542553 2.054677  0.000000 0.000000  23.448296 1.920161  0.000000 0.000000 7.816099 0.654636
268.300000  0.000000 0.998779  0.000000 0.000000  0.000000 3.551097  0.000000 0.000000 0.000000 1.210667
272.912500  3.271277 0.747673  0.000000 0.000014  0.000000 0.039709  0.000000 0.000383 0.000000 0.013670
277.525000  6.542553 1.368760  0.523501 0.014682  0.000000 0.000003  14.976207 0.410457 5.166570 0.141603
282.137500  0.000000 1.150879  0.000000 0.125642  0.000000 0.000000  0.000000 3.512430 0.000000 1.211741
286.750000  6.542553 1.234403  0.000000 0.008583  0.000000 0.000000  0.000000 0.239946 0.000000 0.082778
291.362500  3.271277 1.313846  0.000000 0.000005  0.000000 0.000001  0.000000 0.000131 0.000000 0.000045
295.975000  0.000000 0.968263  0.000000 0.000000  0.000000 0.009683  0.000000 0.000000 0.000000 0.003301
300.587500  6.542553 1.091639  0.000000 0.000003  16.533528 1.627335  0.000000 0.000000 5.511176 0.554805
305.200000  0.000000 1.338090  0.000000 0.032118  0.000000 3.082396  0.000000 0.005875 0.000000 1.063295
309.812500  9.813830 0.946870  52.652741 5.274249  0.000000 0.065800  9.856414 0.964820 20.836385 2.062062
314.425000  0.000000 2.807350  0.000000 11.166789  0.000000 0.000016  0.000000 2.044790 0.000000 4.319048
319.037500  3.271277 0.309216  49.853293 2.181235  0.000000 0.000000  36.811221 1.409873 28.888171 1.180470
323.650000  0.000000 1.111340  0.000000 13.776885  0.000000 0.000000  0.000000 9.940823 0.000000 7.801270
328.262500  0.000000 0.124853  0.000000 1.503538  0.000000 0.000000  0.000000 1.084896 0.000000 0.851392
332.875000  3.271277 0.449083  0.000000 0.002439  0.000000 0.000000  0.000000 0.001760 0.000000 0.001381
337.487500  3.271277 1.509629  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
342.100000  0.000000 0.951748  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
346.712500  6.542553 1.295016  0.000000 0.000008  0.000000 0.004471  0.000000 0.000740 0.000000 0.001773
351.325000  3.271277 1.917414  0.000000 0.003143  31.618958 1.372489  0.000000 0.299377 10.539653 0.568736
355.937500  6.542553 3.092887  0.092314 0.027835  0.000000 9.187757  8.996895 2.651014 3.029736 4.025103
360.550000  3.271277 2.477660  0.000000 0.005395  0.000000 1.341179  0.000000 0.513768 0.000000 0.630259
365.162500  3.271277 1.494290  0.000000 0.000023  0.000000 0.004269  0.000000 0.002179 0.000000 0.002189
369.775000  3.271277 1.114698  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
374.387500  0.000000 1.234279  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
379.000000  3.271277 0.863519  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
383.612500  0.000000 0.910588  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
388.225000  0.000000 0.030549  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
392.837500  0.000000 0.042615  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
397.450000  3.271277 1.004740  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
402.062500  0.000000 0.814211  0.000000 0.000001  0.000000 0.000000  0.000000 0.000017 0.000000 0.000006
406.675000  3.271277 0.948233  0.000000 0.003573  0.000000 0.000002  0.000000 0.057515 0.000000 0.020336
411.287500  6.542553 2.136337  6.015712 0.448914  0.000000 0.004978  99.092271 7.226091 35.035994 2.556632
415.900000  3.271277 2.834944  0.000000 2.133427  6.638018 0.536464  0.000000 34.341408 2.212673 12.325014
420.512500  3.271277 2.602134  0.000000 0.383515  0.000000 2.264122  0.000000 6.173367 0.000000 2.954624
425.125000  0.000000 1.547318  0.000000 0.002608  0.000000 0.374271  0.000000 0.041977 0.000000 0.142441
429.737500  3.271277 1.577478  0.000000 0.000001  0.000000 0.046802  0.000000 0.000011 0.000000 0.015960
434.350000  3.271277 1.773902  0.000000 0.000000  0.000000 5.204598  0.000000 0.000000 0.000000 1.774392
438.962500  3.271277 2.440358  0.000000 0.000000  76.881607 27.477939  0.000000 0.000000 25.627202 9.367992
443.575000  3.271277 1.008056  0.000000 0.000013  0.000000 6.530835  0.000000 0.000002 0.000000 2.226548
448.187500  3.271277 2.708952  0.000000 0.030304  0.000000 0.069878  0.000000 0.005382 0.000000 0.035489
452.800000  3.271277 1.740155  0.000000 3.600594  0.000000 0.000034  0.000000 0.639516 0.000000 1.386033
457.412500  3.271277 3.140090  56.909479 21.869563  0.000000 0.000000  10.343669 3.884343 22.417716 8.418525
462.025000  0.000000 0.784329  0.000000 6.790506  0.000000 0.000000  0.000000 1.206090 0.000000 2.613955
466.637500  0.000000 0.287803  0.000000 0.107785  0.000000 0.000000  0.000000 0.019144 0.000000 0.041491
471.250000  6.542553 2.607550  0.000000 0.000087  0.000000 0.000015  0.000000 0.000016 0.000000 0.000039
475.862500  0.000000 1.816684  0.000000 0.000000  0.000000 0.023989  0.000000 0.000000 0.000000 0.008179
480.475000  0.000000 0.375592  0.000000 0.000000  0.000000 2.277950  0.000000 0.000000 0.000000 0.776616
485.087500  3.271277 1.631776  0.000000 0.000000  33.815772 13.106087  0.000000 0.000000 11.271924 4.468229
489.700000  0.000000 0.654255  0.000000 0.000000  0.000000 4.568796  0.000000 0.000000 0.000000 1.557629
494.312500  3.271277 1.259627  0.000000 0.000000  0.000000 0.096501  0.000000 0.000000 0.000000 0.032900
498.925000  0.000000 1.171386  0.000000 0.000000  0.000000 0.000123  0.000000 0.000000 0.000000 0.000042
503.537500  0.000000 0.193032  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
508.150000  3.271277 1.401186  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
512.762500  0.000000 1.468909  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
517.375000  3.271277 1.815715  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
521.987500  0.000000 0.608078  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
526.600000  0.000000 0.031299  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
531.212500  3.271277 0.611824  0.000000 0.000000  0.000000 0.000005  0.000000 0.000000 0.000000 0.000002
535.825000  0.000000 1.827130  0.000000 0.000000  0.000000 0.008273  0.000000 0.000000 0.000000 0.002821
540.437500  0.000000 0.555250  0.000000 0.000000  0.000000 1.146823  0.000000 0.000000 0.000000 0.390984
545.050000  3.271277 1.717294  0.000000 0.000000  39.522131 13.206535  0.000000 0.000000 13.174044 4.502474
549.662500  3.271277 3.128478  0.000000 0.000000  0.000000 12.634644  0.000000 0.000000 0.000000 4.307501
554.275000  0.000000 0.991835  0.000000 0.000000  0.000000 1.004197  0.000000 0.000000 0.000000 0.342359
558.887500  0.000000 0.037753  0.000000 0.000000  0.000000 0.006631  0.000000 0.000000 0.000000 0.002261
563.500000  0.000000 0.000131  0.000000 0.000000  0.000000 0.000004  0.000000 0.000000 0.000000 0.000001
568.112500  0.000000 0.000000  0.000000 0.000001  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
572.725000  0.000000 0.000187  0.000000 0.002635  0.000000 0.000000  0.000000 0.000023 0.000000 0.000866
577.337500  0.000000 0.041730  0.000000 0.587322  0.000000 0.000000  0.000000 0.005174 0.000000 0.193037
581.950000  3.271277 0.909774  56.592704 12.804539  0.000000 0.000000  0.510194 0.112804 19.034299 4.208522
586.562500  0.000000 1.940414  0.000000 27.310209  0.000000 0.000000  0.000000 0.240595 0.000000 8.976161
591.175000  0.000000 0.405248  0.000000 5.698483  0.000000 0.000000  0.000000 0.050202 0.000000 1.872944
595.787500  0.000000 0.079455  0.000000 0.116323  0.000000 0.000000  0.000000 0.001025 0.000000 0.038232
600.400000  3.271277 1.568625  0.000000 0.000232  0.000000 0.000000  0.000000 0.000002 0.000000 0.000076
605.012500  3.271277 1.221758  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
609.625000  0.000000 0.043294  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
614.237500  0.000000 0.011081  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
618.850000  0.000000 0.442134  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
623.462500  0.000000 2.057578  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
628.075000  3.271277 1.099259  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
632.687500  0.000000 0.067419  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
637.300000  0.000000 0.000479  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
641.912500  0.000000 0.002789  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
646.525000  0.000000 0.223595  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
651.137500  0.000000 2.508825  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
655.750000  6.542553 4.119574  0.000000 0.000000  0.000000 0.000000  0.000000 0.000000 0.000000 0.000000
660.362500  0.000000 1.145993  0.000000 0.000041  0.000000 0.000000  0.000000 0.000161 0.000000 0.000067
664.975000  0.000000 1.529168  0.000000 0.017251  0.000000 0.000000  0.000000 0.067582 0.000000 0.028147
669.587500  3.271277 2.282806  0.000000 0.978412  0.000000 0.000029  0.000000 3.832979 0.000000 1.596380
674.200000  0.000000 2.240741  0.000000 7.518959  0.000000 0.007247  0.000000 29.455909 0.000000 12.270353
678.812500  3.271277 3.416302  16.951123 7.829316  0.000000 0.251009  67.955669 30.671749 28.302264 12.859835
683.425000  3.271277 4.757944  0.000000 1.104638  0.000000 1.206287  0.000000 4.327477 0.000000 2.213577
688.037500  3.271277 2.131657  0.000000 0.021118  2.338327 0.804357  0.000000 0.082730 0.779442 0.308683
692.650000  0.000000 0.161314  0.000000 0.000055  0.000000 0.074419  0.000000 0.000214 0.000000 0.025461
697.262500  0.000000 0.001872  0.000000 0.000000  0.000000 0.000955  0.000000 0.000000 0.000000 0.000326
701.875000  0.000000 0.000003  0.000000 0.000000  0.000000 0.000002  0.000000 0.000000 0.000000 0.000001
