15.625 2.0347 2.04452 2.11102 1.94855 (count: 2080)
23.4375 2.61258 2.62657 2.70403 2.50713 (count: 1920)
31.25 2.95346 3.03259 2.8233 3.00449 (count: 1760)
39.0625 3.15196 3.19469 2.97588 3.28532 (count: 1600)
46.875 3.30735 3.43103 3.09579 3.39523 (count: 1440)
54.6875 3.57946 3.64141 3.34945 3.74751 (count: 1280)
62.5 3.88658 3.97038 3.7547 3.93465 (count: 1120)
70.3125 4.07583 4.10751 4.10817 4.0118 (count: 960)
78.125 4.02246 4.17815 4.14062 3.74859 (count: 800)
85.9375 3.95141 4.22672 3.88411 3.7434 (count: 640)
93.75 4.02137 4.31198 3.82869 3.92345 (count: 480)
101.562 3.94373 3.99594 3.83122 4.00401 (count: 320)
109.375 3.76974 4.53365 3.12458 3.65098 (count: 160)
